id,name,position,label,dataType,formatOptions,createdAt,updatedAt,_changes,fieldId,typeMapping,_altid,datasetId,tenant,script
7d43bdcc-9cb0-4b6f-b479-94480c8e10c0,FirstName,8,Employee First Name,keyword_text,,2020-07-06 21:21:35.631+00,2020-07-08 13:03:38.864+00,,,"{""type"": ""keyword"", ""fields"": {""text"": {""type"": ""text"", ""fielddata"": true}}}",,078c60e5-7161-4eda-a379-e666887ff160,manager,
a339be9c-92e4-4e13-a162-f71df36586c6,LastName,9,Employee Last Name,keyword_text,,2020-07-06 21:21:35.631+00,2020-07-08 13:03:38.864+00,,,"{""type"": ""keyword"", ""fields"": {""text"": {""type"": ""text"", ""fielddata"": true}}}",,078c60e5-7161-4eda-a379-e666887ff160,manager,
572285ff-4330-4e88-b717-3afe28fd94ba,OrderDate,0,Order Date,date_tz,,2020-07-06 21:21:35.631+00,2020-07-08 13:03:38.864+00,,,"{""type"": ""date""}",,078c60e5-7161-4eda-a379-e666887ff160,manager,
04a500a9-b2f7-4110-a18c-ded5e4663576,ProductName,12,Product Name,keyword_text,,2020-07-06 21:21:35.631+00,2020-07-08 13:03:38.864+00,,,"{""type"": ""keyword"", ""fields"": {""text"": {""type"": ""text"", ""fielddata"": true}}}",,078c60e5-7161-4eda-a379-e666887ff160,manager,
a82b7b82-62ed-4154-98e1-59ef5ed179ae,Quantity,11,Order Detail Quantity,integer,,2020-07-06 21:21:35.631+00,2020-07-08 13:03:38.864+00,,,"{""type"": ""integer""}",,078c60e5-7161-4eda-a379-e666887ff160,manager,
3ee098e3-a260-47bf-acdc-651b9689f3e9,RequiredDate,1,Required Date,date_tz,,2020-07-06 21:21:35.631+00,2020-07-08 13:03:38.864+00,,,"{""type"": ""date""}",,078c60e5-7161-4eda-a379-e666887ff160,manager,
2cdfe807-1309-45d8-880c-57e50b053ea3,ShipAddress,2,Ship Address,keyword_text,,2020-07-06 21:21:35.631+00,2020-07-08 13:03:38.864+00,,,"{""type"": ""keyword"", ""fields"": {""text"": {""type"": ""text"", ""fielddata"": true}}}",,078c60e5-7161-4eda-a379-e666887ff160,manager,
5d6346fe-3555-4fed-8bd6-1c57f62cff74,ShipCity,3,Ship City,keyword_text,,2020-07-06 21:21:35.631+00,2020-07-08 13:03:38.864+00,,,"{""type"": ""keyword"", ""fields"": {""text"": {""type"": ""text"", ""fielddata"": true}}}",,078c60e5-7161-4eda-a379-e666887ff160,manager,
0c287c90-dfca-411d-a8ef-958835a7dd18,ShipCountry,6,Ship Country,keyword_text,,2020-07-06 21:21:35.631+00,2020-07-08 13:03:38.864+00,,,"{""type"": ""keyword"", ""fields"": {""text"": {""type"": ""text"", ""fielddata"": true}}}",,078c60e5-7161-4eda-a379-e666887ff160,manager,
ace893a9-7d50-4e90-a122-47581c26fd4e,ShipPostalCode,5,Ship Postal Code,keyword_text,,2020-07-06 21:21:35.631+00,2020-07-08 13:03:38.864+00,,,"{""type"": ""keyword"", ""fields"": {""text"": {""type"": ""text"", ""fielddata"": true}}}",,078c60e5-7161-4eda-a379-e666887ff160,manager,
f8d17ba0-da0c-4546-a88a-b4aacf8ed92b,ShipRegion,4,Ship Region,keyword_text,,2020-07-06 21:21:35.631+00,2020-07-08 13:03:38.864+00,,,"{""type"": ""keyword"", ""fields"": {""text"": {""type"": ""text"", ""fielddata"": true}}}",,078c60e5-7161-4eda-a379-e666887ff160,manager,
15b945fd-d430-43e1-967b-c473397df151,ShippedDate,7,Shipped Date,date_tz,,2020-07-06 21:21:35.631+00,2020-07-08 13:03:38.864+00,,,"{""type"": ""date""}",,078c60e5-7161-4eda-a379-e666887ff160,manager,
b4069d08-83bc-4fe8-9545-ebc0bc4dd636,UnitPrice,10,Order Detail Unit Price,double,,2020-07-06 21:21:35.631+00,2020-07-08 13:03:38.864+00,,,"{""type"": ""double""}",,078c60e5-7161-4eda-a379-e666887ff160,manager,
1a9d728f-4133-4ddc-abc2-99d9228d3616,orderAmount,14,Order Amount,float,,2020-07-06 21:21:35.631+00,2020-07-08 13:03:38.864+00,,,"{""type"": ""float""}",,078c60e5-7161-4eda-a379-e666887ff160,manager,
a5d1744d-ac40-43a1-943a-c4f018516802,salesperson,13,Salesperson,keyword_text,,2020-07-06 21:21:35.631+00,2020-07-08 13:03:38.864+00,,,"{""type"": ""keyword"", ""fields"": {""text"": {""type"": ""text""}}, ""ignore_above"": 256}",,078c60e5-7161-4eda-a379-e666887ff160,manager,
39d3ea95-6439-41bc-8b5d-c016b85fd3f0,shipState,15,Ship State,keyword_text,,2020-07-06 21:21:35.631+00,2020-07-08 13:03:38.864+00,,,"{""type"": ""keyword"", ""fields"": {""text"": {""type"": ""text""}}, ""ignore_above"": 256}",,078c60e5-7161-4eda-a379-e666887ff160,manager,
37dc4d6f-e856-4cde-b509-599147ed2f24,nextExam,259,Next Exam,date,,2020-07-03 14:11:56.608+00,2020-07-03 14:15:56.048+00,,,"{""type"": ""date""}",,d645c3e8-64b3-445d-a6e1-44be7a57a7f2,manager,
78d959e6-4987-4bae-99f7-896dcad636f4,clientFederalEntityId,51,Client Federal Entity Id,integer,,2020-07-03 14:11:56.608+00,2020-07-03 14:15:56.048+00,,,"{""type"": ""integer""}",,d645c3e8-64b3-445d-a6e1-44be7a57a7f2,manager,
a4883ba1-e1b8-4dc0-ac50-d347aea57530,birthDate,22,Birth Date,date,,2020-07-03 14:11:56.608+00,2020-07-03 14:15:56.048+00,,,"{""type"": ""date""}",,d645c3e8-64b3-445d-a6e1-44be7a57a7f2,manager,
e62d443e-bd6c-48e5-a60c-b97a8c4978ff,clientStatusDate,75,Client Status Date,date,,2020-07-03 14:11:56.608+00,2020-07-03 14:15:56.048+00,,,"{""type"": ""date""}",,d645c3e8-64b3-445d-a6e1-44be7a57a7f2,manager,
a66784bb-4b1b-4e33-b9c0-9f86d4384c26,1099Ee,0,1099 Ee,keyword_text,,2020-07-03 14:11:56.608+00,2020-07-03 14:15:56.048+00,,,"{""type"": ""keyword"", ""fields"": {""text"": {""type"": ""text"", ""fielddata"": true}}}",,d645c3e8-64b3-445d-a6e1-44be7a57a7f2,manager,
b58ed13b-6760-4bf0-a119-7511591e96ea,adaSensitive,1,Ada Sensitive,keyword_text,,2020-07-03 14:11:56.608+00,2020-07-03 14:15:56.048+00,,,"{""type"": ""keyword"", ""fields"": {""text"": {""type"": ""text"", ""fielddata"": true}}}",,d645c3e8-64b3-445d-a6e1-44be7a57a7f2,manager,
ea4efae2-ba10-4e20-9f6c-0a530e645079,address1,2,Address 1,keyword_text,,2020-07-03 14:11:56.608+00,2020-07-03 14:15:56.048+00,,,"{""type"": ""keyword"", ""fields"": {""text"": {""type"": ""text"", ""fielddata"": true}}}",,d645c3e8-64b3-445d-a6e1-44be7a57a7f2,manager,
d20e2f79-702c-4aeb-bd05-dea7eea19ce6,address1Mailing,3,Address 1 Mailing,keyword_text,,2020-07-03 14:11:56.608+00,2020-07-03 14:15:56.048+00,,,"{""type"": ""keyword"", ""fields"": {""text"": {""type"": ""text"", ""fielddata"": true}}}",,d645c3e8-64b3-445d-a6e1-44be7a57a7f2,manager,
d125e6f1-92bb-4fb0-8481-2f1775cbdf85,address2,4,Address 2,keyword_text,,2020-07-03 14:11:56.608+00,2020-07-03 14:15:56.048+00,,,"{""type"": ""keyword"", ""fields"": {""text"": {""type"": ""text"", ""fielddata"": true}}}",,d645c3e8-64b3-445d-a6e1-44be7a57a7f2,manager,
f2eeea22-6cfc-4f2e-835f-727228c612e8,address2Mailing,5,Address 2 Mailing,keyword_text,,2020-07-03 14:11:56.608+00,2020-07-03 14:15:56.048+00,,,"{""type"": ""keyword"", ""fields"": {""text"": {""type"": ""text"", ""fielddata"": true}}}",,d645c3e8-64b3-445d-a6e1-44be7a57a7f2,manager,
bc5233cf-d38c-4ada-8aaf-82ca7af9c8cb,age,6,Age,integer,,2020-07-03 14:11:56.608+00,2020-07-03 14:15:56.048+00,,,"{""type"": ""integer""}",,d645c3e8-64b3-445d-a6e1-44be7a57a7f2,manager,
860297a3-e95f-437a-a7b4-f55d446ba24c,agriculturalWorker,7,Agricultural Worker,keyword_text,,2020-07-03 14:11:56.608+00,2020-07-03 14:15:56.048+00,,,"{""type"": ""keyword"", ""fields"": {""text"": {""type"": ""text"", ""fielddata"": true}}}",,d645c3e8-64b3-445d-a6e1-44be7a57a7f2,manager,
8dc53195-fec7-4324-94f2-19412d186936,alaskaPositionCode,8,Alaska Position Code,keyword_text,,2020-07-03 14:11:56.608+00,2020-07-03 14:15:56.048+00,,,"{""type"": ""keyword"", ""fields"": {""text"": {""type"": ""text"", ""fielddata"": true}}}",,d645c3e8-64b3-445d-a6e1-44be7a57a7f2,manager,
ad3fb4f5-6547-442b-aed9-f1f28b7bf730,alienRegistrationExpire,9,Alien Registration Expire,date,,2020-07-03 14:11:56.608+00,2020-07-03 14:15:56.048+00,,,"{""type"": ""date""}",,d645c3e8-64b3-445d-a6e1-44be7a57a7f2,manager,
119f4141-d131-4232-b5d4-5d56d5694312,alienRegistrationNumber,10,Alien Registration Number,keyword_text,,2020-07-03 14:11:56.608+00,2020-07-03 14:15:56.048+00,,,"{""type"": ""keyword"", ""fields"": {""text"": {""type"": ""text"", ""fielddata"": true}}}",,d645c3e8-64b3-445d-a6e1-44be7a57a7f2,manager,
e643b4fd-f997-4914-8103-d5608f4005e0,allocationTemplate,11,Allocation Template,keyword_text,,2020-07-03 14:11:56.608+00,2020-07-03 14:15:56.048+00,,,"{""type"": ""keyword"", ""fields"": {""text"": {""type"": ""text"", ""fielddata"": true}}}",,d645c3e8-64b3-445d-a6e1-44be7a57a7f2,manager,
d3f5ba43-34fa-4c6d-b0ff-2cd3799823ab,annualPayRate,12,Annual Pay Rate,double,,2020-07-03 14:11:56.608+00,2020-07-03 14:15:56.048+00,,,"{""type"": ""double""}",,d645c3e8-64b3-445d-a6e1-44be7a57a7f2,manager,
c0e3296b-7b04-427f-be79-1104544c9e82,applicantId,13,Applicant Id,integer,,2020-07-03 14:11:56.608+00,2020-07-03 14:15:56.048+00,,,"{""type"": ""integer""}",,d645c3e8-64b3-445d-a6e1-44be7a57a7f2,manager,
9d82cbb7-2a2a-499d-9dfe-7c4db90e8c67,autoAcceptTs,14,Auto Accept Ts,keyword_text,,2020-07-03 14:11:56.608+00,2020-07-03 14:15:56.048+00,,,"{""type"": ""keyword"", ""fields"": {""text"": {""type"": ""text"", ""fielddata"": true}}}",,d645c3e8-64b3-445d-a6e1-44be7a57a7f2,manager,
00a373cf-0fd1-4575-9a6e-c06799e10acf,benefitEmailAddress,15,Benefit Email Address,keyword_text,,2020-07-03 14:11:56.608+00,2020-07-03 14:15:56.048+00,,,"{""type"": ""keyword"", ""fields"": {""text"": {""type"": ""text"", ""fielddata"": true}}}",,d645c3e8-64b3-445d-a6e1-44be7a57a7f2,manager,
90c13280-b740-4ec7-9896-49ccc7f83168,benefitEmailOptInDate,16,Benefit Email Opt In Date,keyword_text,,2020-07-03 14:11:56.608+00,2020-07-03 14:15:56.048+00,,,"{""type"": ""keyword"", ""fields"": {""text"": {""type"": ""text"", ""fielddata"": true}}}",,d645c3e8-64b3-445d-a6e1-44be7a57a7f2,manager,
