id,schemaId,mappingId,fieldId,source,sourceId,mappingPath,name,hidden,data,description,rawType,dataType,formatOptions,ordinalPosition,isPk,pkSeqNum,isFk,restricted,createdAt,updatedAt,_changes,expression,datasourceId,_altid,tenant,codeId
35ed6ed4-fcd0-48c6-92d4-07f67d963164:general_ee_info_1:pk_ee_info,,general_ee_info_1,pk_ee_info,pg,,35ed6ed4-fcd0-48c6-92d4-07f67d963164:general_ee_info_1,Pk Ee Info,f,"{""isFk"": false, ""isPk"": false, ""fieldId"": ""pk_ee_info"", ""rawType"": ""text"", ""udtName"": ""text"", ""pkSeqNum"": null, ""schemaId"": ""35ed6ed4-fcd0-48c6-92d4-07f67d963164:manager"", ""mappingId"": ""general_ee_info_1"", ""udtSchema"": ""pg_catalog"", ""ordinalPosition"": 1, ""arrayElementType"": null}",,text,keyword_text,{},1,f,,f,f,2020-07-03 14:08:37.893+00,2020-07-03 14:08:37.893+00,,,35ed6ed4-fcd0-48c6-92d4-07f67d963164,,manager,
35ed6ed4-fcd0-48c6-92d4-07f67d963164:general_ee_info_1:peo_id,,general_ee_info_1,peo_id,pg,,35ed6ed4-fcd0-48c6-92d4-07f67d963164:general_ee_info_1,Peo Id,f,"{""isFk"": false, ""isPk"": false, ""fieldId"": ""peo_id"", ""rawType"": ""text"", ""udtName"": ""text"", ""pkSeqNum"": null, ""schemaId"": ""35ed6ed4-fcd0-48c6-92d4-07f67d963164:manager"", ""mappingId"": ""general_ee_info_1"", ""udtSchema"": ""pg_catalog"", ""ordinalPosition"": 2, ""arrayElementType"": null}",,text,keyword_text,{},2,f,,f,f,2020-07-03 14:08:37.893+00,2020-07-03 14:08:37.893+00,,,35ed6ed4-fcd0-48c6-92d4-07f67d963164,,manager,
35ed6ed4-fcd0-48c6-92d4-07f67d963164:general_ee_info_1:client_id,,general_ee_info_1,client_id,pg,,35ed6ed4-fcd0-48c6-92d4-07f67d963164:general_ee_info_1,Client Id,f,"{""isFk"": false, ""isPk"": false, ""fieldId"": ""client_id"", ""rawType"": ""integer"", ""udtName"": ""int4"", ""pkSeqNum"": null, ""schemaId"": ""35ed6ed4-fcd0-48c6-92d4-07f67d963164:manager"", ""mappingId"": ""general_ee_info_1"", ""udtSchema"": ""pg_catalog"", ""ordinalPosition"": 3, ""arrayElementType"": null}",,integer,integer,{},3,f,,f,f,2020-07-03 14:08:37.893+00,2020-07-03 14:08:37.893+00,,,35ed6ed4-fcd0-48c6-92d4-07f67d963164,,manager,
35ed6ed4-fcd0-48c6-92d4-07f67d963164:general_ee_info_1:client_employer_id,,general_ee_info_1,client_employer_id,pg,,35ed6ed4-fcd0-48c6-92d4-07f67d963164:general_ee_info_1,Client Employer Id,f,"{""isFk"": false, ""isPk"": false, ""fieldId"": ""client_employer_id"", ""rawType"": ""text"", ""udtName"": ""text"", ""pkSeqNum"": null, ""schemaId"": ""35ed6ed4-fcd0-48c6-92d4-07f67d963164:manager"", ""mappingId"": ""general_ee_info_1"", ""udtSchema"": ""pg_catalog"", ""ordinalPosition"": 4, ""arrayElementType"": null}",,text,keyword_text,{},4,f,,f,f,2020-07-03 14:08:37.893+00,2020-07-03 14:08:37.893+00,,,35ed6ed4-fcd0-48c6-92d4-07f67d963164,,manager,
35ed6ed4-fcd0-48c6-92d4-07f67d963164:general_ee_info_1:eeid,,general_ee_info_1,eeid,pg,,35ed6ed4-fcd0-48c6-92d4-07f67d963164:general_ee_info_1,Eeid,f,"{""isFk"": false, ""isPk"": false, ""fieldId"": ""eeid"", ""rawType"": ""text"", ""udtName"": ""text"", ""pkSeqNum"": null, ""schemaId"": ""35ed6ed4-fcd0-48c6-92d4-07f67d963164:manager"", ""mappingId"": ""general_ee_info_1"", ""udtSchema"": ""pg_catalog"", ""ordinalPosition"": 5, ""arrayElementType"": null}",,text,keyword_text,{},5,f,,f,f,2020-07-03 14:08:37.893+00,2020-07-03 14:08:37.893+00,,,35ed6ed4-fcd0-48c6-92d4-07f67d963164,,manager,
35ed6ed4-fcd0-48c6-92d4-07f67d963164:general_ee_info_1:ee_number,,general_ee_info_1,ee_number,pg,,35ed6ed4-fcd0-48c6-92d4-07f67d963164:general_ee_info_1,Ee Number,f,"{""isFk"": false, ""isPk"": false, ""fieldId"": ""ee_number"", ""rawType"": ""text"", ""udtName"": ""text"", ""pkSeqNum"": null, ""schemaId"": ""35ed6ed4-fcd0-48c6-92d4-07f67d963164:manager"", ""mappingId"": ""general_ee_info_1"", ""udtSchema"": ""pg_catalog"", ""ordinalPosition"": 6, ""arrayElementType"": null}",,text,keyword_text,{},6,f,,f,f,2020-07-03 14:08:37.893+00,2020-07-03 14:08:37.893+00,,,35ed6ed4-fcd0-48c6-92d4-07f67d963164,,manager,
35ed6ed4-fcd0-48c6-92d4-07f67d963164:general_ee_info_1:applicant_id,,general_ee_info_1,applicant_id,pg,,35ed6ed4-fcd0-48c6-92d4-07f67d963164:general_ee_info_1,Applicant Id,f,"{""isFk"": false, ""isPk"": false, ""fieldId"": ""applicant_id"", ""rawType"": ""integer"", ""udtName"": ""int4"", ""pkSeqNum"": null, ""schemaId"": ""35ed6ed4-fcd0-48c6-92d4-07f67d963164:manager"", ""mappingId"": ""general_ee_info_1"", ""udtSchema"": ""pg_catalog"", ""ordinalPosition"": 7, ""arrayElementType"": null}",,integer,integer,{},7,f,,f,f,2020-07-03 14:08:37.893+00,2020-07-03 14:08:37.893+00,,,35ed6ed4-fcd0-48c6-92d4-07f67d963164,,manager,
35ed6ed4-fcd0-48c6-92d4-07f67d963164:general_ee_info_1:benefit_email_address,,general_ee_info_1,benefit_email_address,pg,,35ed6ed4-fcd0-48c6-92d4-07f67d963164:general_ee_info_1,Benefit Email Address,f,"{""isFk"": false, ""isPk"": false, ""fieldId"": ""benefit_email_address"", ""rawType"": ""text"", ""udtName"": ""text"", ""pkSeqNum"": null, ""schemaId"": ""35ed6ed4-fcd0-48c6-92d4-07f67d963164:manager"", ""mappingId"": ""general_ee_info_1"", ""udtSchema"": ""pg_catalog"", ""ordinalPosition"": 8, ""arrayElementType"": null}",,text,keyword_text,{},8,f,,f,f,2020-07-03 14:08:37.893+00,2020-07-03 14:08:37.893+00,,,35ed6ed4-fcd0-48c6-92d4-07f67d963164,,manager,
35ed6ed4-fcd0-48c6-92d4-07f67d963164:general_ee_info_1:benefit_email_opt_in_date,,general_ee_info_1,benefit_email_opt_in_date,pg,,35ed6ed4-fcd0-48c6-92d4-07f67d963164:general_ee_info_1,Benefit Email Opt In Date,f,"{""isFk"": false, ""isPk"": false, ""fieldId"": ""benefit_email_opt_in_date"", ""rawType"": ""text"", ""udtName"": ""text"", ""pkSeqNum"": null, ""schemaId"": ""35ed6ed4-fcd0-48c6-92d4-07f67d963164:manager"", ""mappingId"": ""general_ee_info_1"", ""udtSchema"": ""pg_catalog"", ""ordinalPosition"": 9, ""arrayElementType"": null}",,text,keyword_text,{},9,f,,f,f,2020-07-03 14:08:37.893+00,2020-07-03 14:08:37.893+00,,,35ed6ed4-fcd0-48c6-92d4-07f67d963164,,manager,
35ed6ed4-fcd0-48c6-92d4-07f67d963164:general_ee_info_1:benefit_email_opt_out_date,,general_ee_info_1,benefit_email_opt_out_date,pg,,35ed6ed4-fcd0-48c6-92d4-07f67d963164:general_ee_info_1,Benefit Email Opt Out Date,f,"{""isFk"": false, ""isPk"": false, ""fieldId"": ""benefit_email_opt_out_date"", ""rawType"": ""text"", ""udtName"": ""text"", ""pkSeqNum"": null, ""schemaId"": ""35ed6ed4-fcd0-48c6-92d4-07f67d963164:manager"", ""mappingId"": ""general_ee_info_1"", ""udtSchema"": ""pg_catalog"", ""ordinalPosition"": 10, ""arrayElementType"": null}",,text,keyword_text,{},10,f,,f,f,2020-07-03 14:08:37.893+00,2020-07-03 14:08:37.893+00,,,35ed6ed4-fcd0-48c6-92d4-07f67d963164,,manager,
