id,linkId,fromId,toId,source,sourceId,name,type,defn,embedded,embeddedPrefix,createdAt,updatedAt,_changes,parentId,_altid,tenant
da061cd8-885d-414a-b1a6-244f5c299347:public+orders:order-details,order-details,da061cd8-885d-414a-b1a6-244f5c299347:public+orders,da061cd8-885d-414a-b1a6-244f5c299347:public+order_details,northwind-schema,,Order Detail,sql,"[{""toField"": ""OrderID"", ""operator"": ""="", ""toSchema"": ""public"", ""fromField"": ""OrderID"", ""toMapping"": ""order_details"", ""fromSchema"": ""public"", ""fromMapping"": ""orders""}]",f,,2020-07-06 21:21:25.062+00,2020-07-06 21:21:25.062+00,,,,manager
da061cd8-885d-414a-b1a6-244f5c299347:public+products:categories,categories,da061cd8-885d-414a-b1a6-244f5c299347:public+products,da061cd8-885d-414a-b1a6-244f5c299347:public+categories,northwind-schema,,Category,sql,"[{""toField"": ""CategoryID"", ""operator"": ""="", ""toSchema"": ""public"", ""fromField"": ""CategoryID"", ""toMapping"": ""categories"", ""fromSchema"": ""public"", ""fromMapping"": ""products""}]",f,,2020-07-06 21:21:25.086+00,2020-07-06 21:21:25.086+00,,,,manager
da061cd8-885d-414a-b1a6-244f5c299347:public+employeeterritories:territories,territories,da061cd8-885d-414a-b1a6-244f5c299347:public+employeeterritories,da061cd8-885d-414a-b1a6-244f5c299347:public+territories,northwind-schema,,Territories,sql,"[{""toField"": ""TerritoryID"", ""operator"": ""="", ""toSchema"": ""public"", ""fromField"": ""TerritoryID"", ""toMapping"": ""territories"", ""fromSchema"": ""public"", ""fromMapping"": ""employeeterritories""}]",f,,2020-07-06 21:21:25.091+00,2020-07-06 21:21:25.091+00,,,,manager
da061cd8-885d-414a-b1a6-244f5c299347:public+orders:employees,employees,da061cd8-885d-414a-b1a6-244f5c299347:public+orders,da061cd8-885d-414a-b1a6-244f5c299347:public+employees,northwind-schema,,Employee,sql,"[{""toField"": ""EmployeeID"", ""operator"": ""="", ""toSchema"": ""public"", ""fromField"": ""EmployeeID"", ""toMapping"": ""employees"", ""fromSchema"": ""public"", ""fromMapping"": ""orders""}]",f,,2020-07-06 21:21:25.096+00,2020-07-06 21:21:25.096+00,,,,manager
da061cd8-885d-414a-b1a6-244f5c299347:public+products:suppliers,suppliers,da061cd8-885d-414a-b1a6-244f5c299347:public+products,da061cd8-885d-414a-b1a6-244f5c299347:public+suppliers,northwind-schema,,Supplier,sql,"[{""toField"": ""SupplierID"", ""operator"": ""="", ""toSchema"": ""public"", ""fromField"": ""SupplierID"", ""toMapping"": ""suppliers"", ""fromSchema"": ""public"", ""fromMapping"": ""products""}]",f,,2020-07-06 21:21:25.102+00,2020-07-06 21:21:25.102+00,,,,manager
da061cd8-885d-414a-b1a6-244f5c299347:public+territories:region,region,da061cd8-885d-414a-b1a6-244f5c299347:public+territories,da061cd8-885d-414a-b1a6-244f5c299347:public+region,northwind-schema,,Region,sql,"[{""toField"": ""RegionID"", ""operator"": ""="", ""toSchema"": ""public"", ""fromField"": ""RegionID"", ""toMapping"": ""region"", ""fromSchema"": ""public"", ""fromMapping"": ""territories""}]",f,,2020-07-06 21:21:25.107+00,2020-07-06 21:21:25.107+00,,,,manager
da061cd8-885d-414a-b1a6-244f5c299347:public+orders:customers,customers,da061cd8-885d-414a-b1a6-244f5c299347:public+orders,da061cd8-885d-414a-b1a6-244f5c299347:public+customers,northwind-schema,,Customer,sql,"[{""toField"": ""CustomerID"", ""operator"": ""="", ""toSchema"": ""public"", ""fromField"": ""CustomerID"", ""toMapping"": ""customers"", ""fromSchema"": ""public"", ""fromMapping"": ""orders""}]",f,,2020-07-06 21:21:25.114+00,2020-07-06 21:21:25.114+00,,,,manager
da061cd8-885d-414a-b1a6-244f5c299347:public+customers:customercustomerdemo,customercustomerdemo,da061cd8-885d-414a-b1a6-244f5c299347:public+customers,da061cd8-885d-414a-b1a6-244f5c299347:public+customercustomerdemo,northwind-schema,,Customercustomerdemo,sql,"[{""toField"": ""CustomerID"", ""operator"": ""="", ""toSchema"": ""public"", ""fromField"": ""CustomerID"", ""toMapping"": ""customercustomerdemo"", ""fromSchema"": ""public"", ""fromMapping"": ""customers""}]",f,,2020-07-06 21:21:25.133+00,2020-07-06 21:21:25.133+00,,,,manager
da061cd8-885d-414a-b1a6-244f5c299347:public+orders:shippers,shippers,da061cd8-885d-414a-b1a6-244f5c299347:public+orders,da061cd8-885d-414a-b1a6-244f5c299347:public+shippers,northwind-schema,,Shipper,sql,"[{""toField"": ""ShipperID"", ""operator"": ""="", ""toSchema"": ""public"", ""fromField"": ""ShipVia"", ""toMapping"": ""shippers"", ""fromSchema"": ""public"", ""fromMapping"": ""orders""}]",f,,2020-07-06 21:21:25.138+00,2020-07-06 21:21:25.138+00,,,,manager
da061cd8-885d-414a-b1a6-244f5c299347:public+customercustomerdemo:customerdemographics,customerdemographics,da061cd8-885d-414a-b1a6-244f5c299347:public+customercustomerdemo,da061cd8-885d-414a-b1a6-244f5c299347:public+customerdemographics,northwind-schema,,Customerdemographics,sql,"[{""toField"": ""CustomerTypeID"", ""operator"": ""="", ""toSchema"": ""public"", ""fromField"": ""CustomerTypeID"", ""toMapping"": ""customerdemographics"", ""fromSchema"": ""public"", ""fromMapping"": ""customercustomerdemo""}]",f,,2020-07-06 21:21:25.143+00,2020-07-06 21:21:25.143+00,,,,manager
da061cd8-885d-414a-b1a6-244f5c299347:public+order_details:products,products,da061cd8-885d-414a-b1a6-244f5c299347:public+order_details,da061cd8-885d-414a-b1a6-244f5c299347:public+products,northwind-schema,,Product,sql,"[{""toField"": ""ProductID"", ""operator"": ""="", ""toSchema"": ""public"", ""fromField"": ""ProductID"", ""toMapping"": ""products"", ""fromSchema"": ""public"", ""fromMapping"": ""order_details""}]",f,,2020-07-06 21:21:25.15+00,2020-07-06 21:21:25.15+00,,,,manager
da061cd8-885d-414a-b1a6-244f5c299347:public+employees:employeeterritories,employeeterritories,da061cd8-885d-414a-b1a6-244f5c299347:public+employees,da061cd8-885d-414a-b1a6-244f5c299347:public+employeeterritories,northwind-schema,,Employeeterritories,sql,"[{""toField"": ""EmployeeID"", ""operator"": ""="", ""toSchema"": ""public"", ""fromField"": ""ReportsTo"", ""toMapping"": ""employeeterritories"", ""fromSchema"": ""public"", ""fromMapping"": ""employees""}]",f,,2020-07-06 21:21:25.156+00,2020-07-06 21:21:25.156+00,,,,manager
