id,schemaId,mappingId,source,sourceId,name,hidden,records,size,data,createdAt,updatedAt,_changes,setId,description,datasourceId,_altid,tenant
35ed6ed4-fcd0-48c6-92d4-07f67d963164:general_ee_info_1,,general_ee_info_1,pg,,General Ee Info 1,f,69507,71999488,"{""size"": ""71999488"", ""records"": 69507, ""schemaId"": ""35ed6ed4-fcd0-48c6-92d4-07f67d963164:manager"", ""mappingId"": ""general_ee_info_1""}",2020-07-03 14:08:37.708+00,2020-07-03 14:08:37.708+00,,,,35ed6ed4-fcd0-48c6-92d4-07f67d963164,,manager
da061cd8-885d-414a-b1a6-244f5c299347:public+bad_jsonb,public,bad_jsonb,pg,,Bad Jsonb,f,2,16384,"{""size"": ""16384"", ""records"": ""2"", ""schemaId"": ""public"", ""mappingId"": ""bad_jsonb""}",2020-07-06 21:21:24.389+00,2020-07-06 21:21:24.389+00,,,,da061cd8-885d-414a-b1a6-244f5c299347,,manager
da061cd8-885d-414a-b1a6-244f5c299347:public+categories,public,categories,pg,,Categories,f,0,32768,"{""size"": ""32768"", ""records"": ""0"", ""schemaId"": ""public"", ""mappingId"": ""categories""}",2020-07-06 21:21:24.389+00,2020-07-06 21:21:24.389+00,,,,da061cd8-885d-414a-b1a6-244f5c299347,,manager
da061cd8-885d-414a-b1a6-244f5c299347:public+customercustomerdemo,public,customercustomerdemo,pg,,Customercustomerdemo,f,0,16384,"{""size"": ""16384"", ""records"": ""0"", ""schemaId"": ""public"", ""mappingId"": ""customercustomerdemo""}",2020-07-06 21:21:24.389+00,2020-07-06 21:21:24.389+00,,,,da061cd8-885d-414a-b1a6-244f5c299347,,manager
da061cd8-885d-414a-b1a6-244f5c299347:public+customerdemographics,public,customerdemographics,pg,,Customerdemographics,f,0,16384,"{""size"": ""16384"", ""records"": ""0"", ""schemaId"": ""public"", ""mappingId"": ""customerdemographics""}",2020-07-06 21:21:24.389+00,2020-07-06 21:21:24.389+00,,,,da061cd8-885d-414a-b1a6-244f5c299347,,manager
da061cd8-885d-414a-b1a6-244f5c299347:public+customers,public,customers,pg,,Customers,f,0,65536,"{""size"": ""65536"", ""records"": ""0"", ""schemaId"": ""public"", ""mappingId"": ""customers""}",2020-07-06 21:21:24.389+00,2020-07-06 21:21:24.389+00,,,,da061cd8-885d-414a-b1a6-244f5c299347,,manager
da061cd8-885d-414a-b1a6-244f5c299347:public+customers_1996,public,customers_1996,pg,,Customers 1996,f,67,81920,"{""size"": ""81920"", ""records"": ""67"", ""schemaId"": ""public"", ""mappingId"": ""customers_1996""}",2020-07-06 21:21:24.389+00,2020-07-06 21:21:24.389+00,,,,da061cd8-885d-414a-b1a6-244f5c299347,,manager
da061cd8-885d-414a-b1a6-244f5c299347:public+customers_1997,public,customers_1997,pg,,Customers 1997,f,86,90112,"{""size"": ""90112"", ""records"": ""86"", ""schemaId"": ""public"", ""mappingId"": ""customers_1997""}",2020-07-06 21:21:24.389+00,2020-07-06 21:21:24.389+00,,,,da061cd8-885d-414a-b1a6-244f5c299347,,manager
da061cd8-885d-414a-b1a6-244f5c299347:public+customers_1998,public,customers_1998,pg,,Customers 1998,f,81,90112,"{""size"": ""90112"", ""records"": ""81"", ""schemaId"": ""public"", ""mappingId"": ""customers_1998""}",2020-07-06 21:21:24.389+00,2020-07-06 21:21:24.389+00,,,,da061cd8-885d-414a-b1a6-244f5c299347,,manager
da061cd8-885d-414a-b1a6-244f5c299347:public+employees,public,employees,pg,,Employees,f,0,32768,"{""size"": ""32768"", ""records"": ""0"", ""schemaId"": ""public"", ""mappingId"": ""employees""}",2020-07-06 21:21:24.389+00,2020-07-06 21:21:24.389+00,,,,da061cd8-885d-414a-b1a6-244f5c299347,,manager
